compound_id,std_smiles,inchikey,scaffold,generic_scaffold,mw,logp,tpsa,hbd,hba,rotbonds,rings,aromatic_rings,heavy_atoms,fsp3,qed,is_pains,pIC50_func_CHEMBL233,pIC50_func_CHEMBL233_relation,pIC50_func_CHEMBL237,pIC50_func_CHEMBL237_relation,pEC50_CHEMBL233,pEC50_CHEMBL233_relation,pEC50_CHEMBL236,pEC50_CHEMBL236_relation,pAC50_CHEMBL233,pAC50_CHEMBL233_relation,pAC50_CHEMBL236,pAC50_CHEMBL236_relation,pEC50_CHEMBL237,pEC50_CHEMBL237_relation,pAC50_CHEMBL237,pAC50_CHEMBL237_relation,pIC50_func_CHEMBL2014,pIC50_func_CHEMBL2014_relation,pIC50_func_CHEMBL236,pIC50_func_CHEMBL236_relation,pEC50_CHEMBL2014,pEC50_CHEMBL2014_relation
CHEMBL127802,CCCCN1CCC(=C(c2ccccc2)c2ccc(C(=O)N(CC)CC)cc2)CC1,IBGYSLZJAPQZEL-UHFFFAOYSA-N,c1ccc(C(=C2CCNCC2)c2ccccc2)cc1,C1CCC(C(C2CCCCC2)C2CCCCC2)CC1,404.6,5.87,23.6,0,2,8,3,2,30,0.444,0.55,False,5.384,exact,5.3696,exact,,,7.3372,exact,,,,,,,,,,,8.1851,exact,,
BDBM:601088,Cc1ncc([C@@H](CC(=O)NC[C@H](Cc2cc(F)c(C(N)=O)c(F)c2)N(C)C)C2(C(F)(F)F)CC2)cn1,IBHOSNJQYKMFLT-DLBZAZTESA-N,O=C(C[C@H](c1cncnc1)C1CC1)NCCCc1ccccc1,CC(CCCCC1CCCCC1)CC(C1CCCCC1)C1CC1,513.51,3.27,101.2,2,5,10,3,2,36,0.5,0.475,False,6.5229,lower_bound,,,,,,,,,,,,,,,,,,,,
PUBCHEM:165405381,Cc1ncc(C(CC(=O)NCC(Cc2cc(F)c(C(N)=O)c(F)c2)N(C)C)C2(C(F)(F)F)CC2)cn1,IBHOSNJQYKMFLT-UHFFFAOYSA-N,O=C(CC(c1cncnc1)C1CC1)NCCCc1ccccc1,CC(CCCCC1CCCCC1)CC(C1CCCCC1)C1CC1,513.51,3.27,101.2,2,5,10,3,2,36,0.5,0.475,False,6.5229,exact,,,,,,,,,,,,,,,,,,,,
CHEMBL5081183,CCC(=O)N(CC1(N2CCN(Cc3ccccc3)CC2)CCN(C)CC1)c1ccccc1,IBHQWHKVWRYMBH-UHFFFAOYSA-N,c1ccc(CN2CCN(C3(CNc4ccccc4)CCNCC3)CC2)cc1,C1CCC(CCC2(C3CCC(CC4CCCCC4)CC3)CCCCC2)CC1,434.63,3.71,30.0,0,4,7,4,2,32,0.519,0.665,False,,,,,6.1319,exact,,,,,,,,,,,,,,,,
PUBCHEM:21700,CCC(=O)OCC(=O)C1(OC(=O)CC)C(C)CC2C3CC=C4CC(=O)C=CC4(C)C3(Cl)C(O)CC21C,IBIIDGIPJPTFBZ-UHFFFAOYSA-N,O=C1C=CC2C(=CCC3C4CCCC4CCC23)C1,CC1CCC2C(CCC3C4CCCC4CCC23)C1,521.05,4.09,107.0,1,7,6,4,0,36,0.714,0.319,False,,,,,,,,,4.5229,exact,4.5229,exact,,,5.0,exact,,,,,,
PUBCHEM:5311454,CC(C)(C)C(O)C=Cc1ccc2c(c1)OCO2,IBLNKMRFIPWSOY-UHFFFAOYSA-N,c1ccc2c(c1)OCO2,C1CCC2CCCC2C1,234.29,2.84,38.7,1,3,2,2,1,17,0.429,0.855,False,,,,,,,,,4.5229,exact,,,,,,,,,,,,
CHEMBL5070613,CCC(=O)N(CC1(N2CCN(Cc3ccccc3)CC2)CCOCC1)c1ccccc1,IBNDZHBEHXBGDO-UHFFFAOYSA-N,c1ccc(CN2CCN(C3(CNc4ccccc4)CCOCC3)CC2)cc1,C1CCC(CCC2(C3CCC(CC4CCCCC4)CC3)CCCCC2)CC1,421.59,3.8,36.0,0,4,7,4,2,31,0.5,0.681,False,,,,,7.585,exact,,,,,,,,,,,,,,,,
BDBM:450902,CCc1cc(F)c2nc(N3CC[C@@H](N[C@@H]4CCOC4)C[C@H]3C)c(-c3nc(C)no3)c(C)c2c1,IBNNDZWGYKPGEP-NIKGAXFTSA-N,c1ccc2nc(N3CCC(N[C@@H]4CCOC4)CC3)c(-c3ncno3)cc2c1,C1CCC(CC2CCC(C3CC4CCCCC4CC3C3CCCC3)CC2)C1,453.56,4.34,76.3,1,7,5,5,3,33,0.56,0.616,False,6.0,upper_bound,8.2596,exact,,,,,,,,,,,,,,,,,,
PUBCHEM:135329081,CCc1cc(F)c2nc(N3CCC(NC4CCOC4)CC3C)c(-c3nc(C)no3)c(C)c2c1,IBNNDZWGYKPGEP-UHFFFAOYSA-N,c1ccc2nc(N3CCC(NC4CCOC4)CC3)c(-c3ncno3)cc2c1,C1CCC(CC2CCC(C3CC4CCCCC4CC3C3CCCC3)CC2)C1,453.56,4.34,76.3,1,7,5,5,3,33,0.56,0.616,False,6.0,exact,8.4881,exact,,,,,,,,,,,,,,,,,,
BDBM:450901,CCc1cc(F)c2nc(N3CC[C@@H](N[C@H]4CCOC4)C[C@H]3C)c(-c3nc(C)no3)c(C)c2c1,IBNNDZWGYKPGEP-ZMYBRWDISA-N,c1ccc2nc(N3CCC(N[C@H]4CCOC4)CC3)c(-c3ncno3)cc2c1,C1CCC(CC2CCC(C3CC4CCCCC4CC3C3CCCC3)CC2)C1,453.56,4.34,76.3,1,7,5,5,3,33,0.56,0.616,False,6.0,upper_bound,9.0,lower_bound,,,,,,,,,,,,,,,,,,
